mCherry.A.FITC.A,file
4.024324,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.010894,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.166532,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
6.710964,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.932794,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.713469,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.853987,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.615504,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.862544,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
0.042657,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.227041,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.909682,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.75151,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.143283,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.467317,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
6.615538,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.857805,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.046099,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.920008,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.549645,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.06503,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.683827,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
7.23059,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.115643,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.60893,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.517569,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.700038,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.095745,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
6.002517,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
6.355466,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.837023,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.32764,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.201463,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
6.189671,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.3887,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.006884,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.704124,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.571071,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.275807,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.954751,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.623518,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
0.016202,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
8.998533,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.917192,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.047919,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.601562,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.946686,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.1511,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
2.957422,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.064134,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.899119,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.926975,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
0.139553,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
5.300474,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.915282,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.682619,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.835802,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.882075,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.700888,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.916986,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.522808,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
3.937167,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
4.745182,export_Specimen_001_WT_GFP2ARFPSec61_mock_001_GFP.csv
