mCherry.A.FITC.A,file
2.19263,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.308148,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.875532,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.963195,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.533875,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.515992,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.725144,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.854824,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.824518,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.117195,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.054076,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.579972,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.482916,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.210668,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.29256,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.694133,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.421504,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.834719,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.325806,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.572847,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.445798,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.557497,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.253589,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.714352,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.946397,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.423334,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.189419,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.66555,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.925912,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.917241,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.007587,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.194572,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.062152,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.969705,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.539776,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.406978,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.007795,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.69888,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.421725,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.522424,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.007872,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.717763,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.353038,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.004587,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.932661,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.035842,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.366973,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.302913,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.146544,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.195312,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.617528,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.370306,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.862709,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.482697,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.267329,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.745197,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.356541,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.692587,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
3.117239,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.254216,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.716373,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.632775,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.045788,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.139213,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.510798,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.643241,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.244732,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.815157,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.269934,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.4894,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.553828,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.007081,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.402927,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.560409,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.750112,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.003503,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.398987,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.423517,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.717686,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.397575,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.496676,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.156484,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.021121,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.365494,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.289229,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.317705,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.882832,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.319176,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
0.341576,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.921643,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
2.330332,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.926339,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
1.700782,export_Specimen_001_WT_GFP2aRFPSec61_Retro2_008_GFP.csv
