mCherry.A.FITC.A,file
10.1431,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.08689,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.889,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
5.35212,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.95649,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.53108,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.86962,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.94495,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.15898,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.60127,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.19943,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.54774,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
11.0213,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
4.86488,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.33898,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
11.9365,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.71222,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.0213,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.02404,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.4642,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.52077,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.45105,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.47386,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.21162,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.02008,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.17798,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.4078,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.36572,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
4.81061,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.14401,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
5.06163,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.24301,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.5068,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.88139,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.52555,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.7196,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.4972,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
5.58294,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
5.35627,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.4922,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.95943,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.70944,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
11.8995,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.6698,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
3.67304,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
12.5023,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.2032,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.23516,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.75561,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.0557,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.3232,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
11.1375,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.31304,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.97809,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.78999,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.37263,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.35505,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
5.85457,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
13.4233,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.71807,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.0329,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.43208,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.9169,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.01803,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.12785,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.07951,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.768,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.39764,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.18963,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.59006,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.10476,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.53233,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
5.31935,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
11.681,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.92194,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.27894,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
12.1194,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.9878,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
3.78563,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.17124,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
11.9116,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.51193,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.4994,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.69569,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.0696,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.10734,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.82656,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.22149,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.20939,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.36501,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.1743,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.52264,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.76508,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
12.9394,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.78132,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
4.34234,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.58205,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.1515,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.2479,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.12218,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.19268,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.70685,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.14824,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.9078,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.81179,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
6.08328,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.8622,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.50642,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
10.7263,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.59559,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.44286,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
9.30875,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.1338,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
7.94161,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
8.84242,export_Specimen_001_K562WT_GFP2ARFPSec61_DHQZ5_10000_004_GFP.csv
