mCherry.A.Comp.FITC.A,file
2.431346,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.053544,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.452828,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.800641,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.910733,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.557776,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.9569,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.187614,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.304505,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
3.178392,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.781572,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.679372,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.857178,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.707719,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.821479,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.933852,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.494281,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.95592,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.471549,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.255309,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.849368,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
2.175557,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
1.94481,export_Specimen_001_WT_GFP2aRFPSec61_mock_Retro2_002_GFP.csv
